station,basin,X,Y
122,ESCAUT SOMME,733378.1999993956,7019275.000102043
123,ESCAUT SOMME,740360.2999992691,7021756.500102034
154,ESCAUT SOMME,688329.6000002127,7064492.000101901
169,ESCAUT SOMME,666470.000000609,7040933.000101977
188,NA,673429.6000004861,7091629.500101805
190,ESCAUT SOMME,603059.3000017704,7079198.000101839
209,ESCAUT SOMME,632400.8000012299,7052895.500101933
278,ESCAUT SOMME,629546.3000012645,6961690.500102191
299,RHIN,1039268.9999941331,6738650.000102317
345,RHIN,1047086.9999939322,6805197.00010228
346,RHIN,1049247.9999938877,6811780.000102271
385,NA,1061960.9999936232,6853655.000102215
418,RHIN,1016714.9999945279,6732366.00010234
427,RHIN,1013935.9999945837,6723763.000102341
513,RHIN,1018956.9999944675,6756046.000102333
527,RHIN,1013302.9999945557,6766444.0001023365
552,RHIN,1002464.9999947315,6780412.000102336
568,RHIN,1013273.9999945331,6792349.000102321
624,RHIN,1008895.9999946018,6800632.00010232
644,RHIN,1039111.9999940605,6815946.000102281
657,RHIN,1025733.9999942909,6819590.000102288
695,RHIN,1010069.9999945606,6824216.000102298
723,RHIN,1032218.999994161,6837230.000102265
803,RHIN,1055614.9999937378,6850263.000102226
857,RHIN,1036383.9999940488,6878514.000102205
960,RHIN,1063729.999993583,6862656.0001022015
967,RHIN,1047573.999993837,6893190.0001021745
1076,RHIN,979341.9999951486,6761239.000102366
1146,RHIN,980927.9999950983,6789516.000102351
1162,RHIN,961476.9999954393,6786670.000102366
1257,RHIN,931757.999995928,6829998.000102354
1301,RHIN,993281.9999948773,6796630.000102336
1322,RHIN,996072.9999948089,6820120.000102316
1348,RHIN,981640.9999950614,6820101.000102325
1405,RHIN,967548.999995295,6837180.000102321
1453,RHIN,962000.9999953848,6847365.000102312
1472,RHIN,935985.999995842,6847844.00010233
1506,RHIN,921980.9999960703,6876885.000102298
1535,RHIN,921505.9999960749,6883173.000102289
1629,RHIN,895510.9999965257,6900217.000102273
1748,RHIN,942703.9999956663,6932883.000102182
1755,RHIN,945601.9999956138,6934072.000102177
1823,RHIN,983810.9999949748,6880791.000102248
1992,RHIN,959897.999995369,6920318.000102195
2010,MEUSE,889438.9999966993,6777251.0001024185
2060,MEUSE,902263.9999964545,6814853.000102385
2090,MEUSE,892257.9999966137,6843657.000102361
2176,MEUSE,859019.9999971624,6925970.000102243
2196,MEUSE,844508.9999974107,6952304.000102194
2208,MEUSE,904271.999996356,6925208.000102224
2259,NA,867592.999996999,6948577.000102192
2275,MEUSE,854133.9999972382,6952409.0001021875
2288,MEUSE,843511.999997427,6956124.000102185
2307,MEUSE,831964.9999976394,6941026.000102223
2377,MEUSE,820876.9999978215,6989952.000102106
2390,MEUSE,829027.9999976702,7002940.000102068
2423,SEINE,817676.9999979611,6741593.000102465
2497,SEINE,765725.9999988457,6823385.000102431
2544,SEINE,803243.9999982006,6777102.000102456
2565,SEINE,796323.9999983168,6792656.000102449
2594,SEINE,750248.9999991169,6827851.000102427
2608,SEINE,743474.999999237,6818591.000102437
2690,SEINE,855789.9999973001,6743970.000102448
2718,SEINE,833529.9999976702,6784150.000102442
2743,SEINE,808180.9999981041,6811167.000102433
2806,SEINE,764078.999998871,6842527.000102408
2831,SEINE,834196.9999976582,6785239.000102441
2877,SEINE,810273.9999980654,6817520.000102424
